DateID,FullDate,Month,Year
812,2019-01-01,January,2019
813,2019-01-02,January,2019
814,2019-01-03,January,2019
815,2019-01-04,January,2019
816,2019-01-05,January,2019
817,2019-01-06,January,2019
818,2019-01-07,January,2019
819,2019-01-08,January,2019
820,2019-01-09,January,2019
821,2019-01-10,January,2019
822,2019-01-11,January,2019
823,2019-01-12,January,2019
824,2019-01-13,January,2019
825,2019-01-14,January,2019
826,2019-01-15,January,2019
827,2019-01-16,January,2019
828,2019-01-17,January,2019
829,2019-01-18,January,2019
830,2019-01-19,January,2019
831,2019-01-20,January,2019
832,2019-01-21,January,2019
833,2019-01-22,January,2019
834,2019-01-23,January,2019
835,2019-01-24,January,2019
836,2019-01-25,January,2019
837,2019-01-26,January,2019
838,2019-01-27,January,2019
839,2019-01-28,January,2019
840,2019-01-29,January,2019
841,2019-01-30,January,2019
842,2019-01-31,January,2019
843,2019-02-01,February,2019
844,2019-02-02,February,2019
845,2019-02-03,February,2019
846,2019-02-04,February,2019
847,2019-02-05,February,2019
848,2019-02-06,February,2019
849,2019-02-07,February,2019
850,2019-02-08,February,2019
851,2019-02-09,February,2019
852,2019-02-10,February,2019
853,2019-02-11,February,2019
854,2019-02-12,February,2019
855,2019-02-13,February,2019
856,2019-02-14,February,2019
857,2019-02-15,February,2019
858,2019-02-16,February,2019
859,2019-02-17,February,2019
860,2019-02-18,February,2019
861,2019-02-19,February,2019
862,2019-02-20,February,2019
863,2019-02-21,February,2019
864,2019-02-22,February,2019
865,2019-02-23,February,2019
866,2019-02-24,February,2019
867,2019-02-25,February,2019
868,2019-02-26,February,2019
869,2019-02-27,February,2019
870,2019-02-28,February,2019
871,2019-03-01,March,2019
872,2019-03-02,March,2019
873,2019-03-03,March,2019
874,2019-03-04,March,2019
875,2019-03-05,March,2019
876,2019-03-06,March,2019
877,2019-03-07,March,2019
878,2019-03-08,March,2019
879,2019-03-09,March,2019
880,2019-03-10,March,2019
881,2019-03-11,March,2019
882,2019-03-12,March,2019
883,2019-03-13,March,2019
884,2019-03-14,March,2019
885,2019-03-15,March,2019
886,2019-03-16,March,2019
887,2019-03-17,March,2019
888,2019-03-18,March,2019
889,2019-03-19,March,2019
890,2019-03-20,March,2019
891,2019-03-21,March,2019
892,2019-03-22,March,2019
893,2019-03-23,March,2019
894,2019-03-24,March,2019
895,2019-03-25,March,2019
896,2019-03-26,March,2019
897,2019-03-27,March,2019
898,2019-03-28,March,2019
899,2019-03-29,March,2019
900,2019-03-30,March,2019
901,2019-03-31,March,2019
902,2019-04-01,April,2019
903,2019-04-02,April,2019
904,2019-04-03,April,2019
905,2019-04-04,April,2019
906,2019-04-05,April,2019
907,2019-04-06,April,2019
908,2019-04-07,April,2019
909,2019-04-08,April,2019
910,2019-04-09,April,2019
911,2019-04-10,April,2019
912,2019-04-11,April,2019
913,2019-04-12,April,2019
914,2019-04-13,April,2019
915,2019-04-14,April,2019
916,2019-04-15,April,2019
917,2019-04-16,April,2019
918,2019-04-17,April,2019
919,2019-04-18,April,2019
920,2019-04-19,April,2019
921,2019-04-20,April,2019
922,2019-04-21,April,2019
923,2019-04-22,April,2019
924,2019-04-23,April,2019
925,2019-04-24,April,2019
926,2019-04-25,April,2019
927,2019-04-26,April,2019
928,2019-04-27,April,2019
929,2019-04-28,April,2019
930,2019-04-29,April,2019
931,2019-04-30,April,2019
932,2019-05-01,May,2019
933,2019-05-02,May,2019
934,2019-05-03,May,2019
935,2019-05-04,May,2019
936,2019-05-05,May,2019
937,2019-05-06,May,2019
938,2019-05-07,May,2019
939,2019-05-08,May,2019
940,2019-05-09,May,2019
941,2019-05-10,May,2019
942,2019-05-11,May,2019
943,2019-05-12,May,2019
944,2019-05-13,May,2019
945,2019-05-14,May,2019
946,2019-05-15,May,2019
947,2019-05-16,May,2019
948,2019-05-17,May,2019
949,2019-05-18,May,2019
950,2019-05-19,May,2019
951,2019-05-20,May,2019
952,2019-05-21,May,2019
953,2019-05-22,May,2019
954,2019-05-23,May,2019
955,2019-05-24,May,2019
956,2019-05-25,May,2019
957,2019-05-26,May,2019
958,2019-05-27,May,2019
959,2019-05-28,May,2019
960,2019-05-29,May,2019
961,2019-05-30,May,2019
962,2019-05-31,May,2019
963,2019-06-01,June,2019
964,2019-06-02,June,2019
965,2019-06-03,June,2019
966,2019-06-04,June,2019
967,2019-06-05,June,2019
968,2019-06-06,June,2019
969,2019-06-07,June,2019
970,2019-06-08,June,2019
971,2019-06-09,June,2019
972,2019-06-10,June,2019
973,2019-06-11,June,2019
974,2019-06-12,June,2019
975,2019-06-13,June,2019
976,2019-06-14,June,2019
977,2019-06-15,June,2019
978,2019-06-16,June,2019
979,2019-06-17,June,2019
980,2019-06-18,June,2019
981,2019-06-19,June,2019
982,2019-06-20,June,2019
983,2019-06-21,June,2019
984,2019-06-22,June,2019
985,2019-06-23,June,2019
986,2019-06-24,June,2019
987,2019-06-25,June,2019
988,2019-06-26,June,2019
989,2019-06-27,June,2019
990,2019-06-28,June,2019
991,2019-06-29,June,2019
992,2019-06-30,June,2019
993,2019-07-01,July,2019
994,2019-07-02,July,2019
995,2019-07-03,July,2019
996,2019-07-04,July,2019
997,2019-07-05,July,2019
998,2019-07-06,July,2019
999,2019-07-07,July,2019
1000,2019-07-08,July,2019
1001,2019-07-09,July,2019
1002,2019-07-10,July,2019
1003,2019-07-11,July,2019
1004,2019-07-12,July,2019
1005,2019-07-13,July,2019
1006,2019-07-14,July,2019
1007,2019-07-15,July,2019
1008,2019-07-16,July,2019
1009,2019-07-17,July,2019
1010,2019-07-18,July,2019
1011,2019-07-19,July,2019
1012,2019-07-20,July,2019
1013,2019-07-21,July,2019
1014,2019-07-22,July,2019
1015,2019-07-23,July,2019
1016,2019-07-24,July,2019
1017,2019-07-25,July,2019
1018,2019-07-26,July,2019
1019,2019-07-27,July,2019
1020,2019-07-28,July,2019
1021,2019-07-29,July,2019
1022,2019-07-30,July,2019
1023,2019-07-31,July,2019
1024,2019-08-01,August,2019
1025,2019-08-02,August,2019
1026,2019-08-03,August,2019
1027,2019-08-04,August,2019
1028,2019-08-05,August,2019
1029,2019-08-06,August,2019
1030,2019-08-07,August,2019
1031,2019-08-08,August,2019
1032,2019-08-09,August,2019
1033,2019-08-10,August,2019
1034,2019-08-11,August,2019
1035,2019-08-12,August,2019
1036,2019-08-13,August,2019
1037,2019-08-14,August,2019
1038,2019-08-15,August,2019
1039,2019-08-16,August,2019
1040,2019-08-17,August,2019
1041,2019-08-18,August,2019
1042,2019-08-19,August,2019
1043,2019-08-20,August,2019
1044,2019-08-21,August,2019
1045,2019-08-22,August,2019
1046,2019-08-23,August,2019
1047,2019-08-24,August,2019
1048,2019-08-25,August,2019
1049,2019-08-26,August,2019
1050,2019-08-27,August,2019
1051,2019-08-28,August,2019
1052,2019-08-29,August,2019
1053,2019-08-30,August,2019
1054,2019-08-31,August,2019
1055,2019-09-01,September,2019
1056,2019-09-02,September,2019
1057,2019-09-03,September,2019
1058,2019-09-04,September,2019
1059,2019-09-05,September,2019
1060,2019-09-06,September,2019
1061,2019-09-07,September,2019
1062,2019-09-08,September,2019
1063,2019-09-09,September,2019
1064,2019-09-10,September,2019
1065,2019-09-11,September,2019
1066,2019-09-12,September,2019
1067,2019-09-13,September,2019
1068,2019-09-14,September,2019
1069,2019-09-15,September,2019
1070,2019-09-16,September,2019
1071,2019-09-17,September,2019
1072,2019-09-18,September,2019
1073,2019-09-19,September,2019
1074,2019-09-20,September,2019
1075,2019-09-21,September,2019
1076,2019-09-22,September,2019
1077,2019-09-23,September,2019
1078,2019-09-24,September,2019
1079,2019-09-25,September,2019
1080,2019-09-26,September,2019
1081,2019-09-27,September,2019
1082,2019-09-28,September,2019
1083,2019-09-29,September,2019
1084,2019-09-30,September,2019
1085,2019-10-01,October,2019
1086,2019-10-02,October,2019
1087,2019-10-03,October,2019
1088,2019-10-04,October,2019
1089,2019-10-05,October,2019
1090,2019-10-06,October,2019
1091,2019-10-07,October,2019
1092,2019-10-08,October,2019
1093,2019-10-09,October,2019
1094,2019-10-10,October,2019
1095,2019-10-11,October,2019
1096,2019-10-12,October,2019
1097,2019-10-13,October,2019
1098,2019-10-14,October,2019
1099,2019-10-15,October,2019
1100,2019-10-16,October,2019
1101,2019-10-17,October,2019
1102,2019-10-18,October,2019
1103,2019-10-19,October,2019
1104,2019-10-20,October,2019
1105,2019-10-21,October,2019
1106,2019-10-22,October,2019
1107,2019-10-23,October,2019
1108,2019-10-24,October,2019
1109,2019-10-25,October,2019
1110,2019-10-26,October,2019
1111,2019-10-27,October,2019
1112,2019-10-28,October,2019
1113,2019-10-29,October,2019
1114,2019-10-30,October,2019
1115,2019-10-31,October,2019
1116,2019-11-01,November,2019
1117,2019-11-02,November,2019
1118,2019-11-03,November,2019
1119,2019-11-04,November,2019
1120,2019-11-05,November,2019
1121,2019-11-06,November,2019
1122,2019-11-07,November,2019
1123,2019-11-08,November,2019
1124,2019-11-09,November,2019
1125,2019-11-10,November,2019
1126,2019-11-11,November,2019
1127,2019-11-12,November,2019
1128,2019-11-13,November,2019
1129,2019-11-14,November,2019
1130,2019-11-15,November,2019
1131,2019-11-16,November,2019
1132,2019-11-17,November,2019
1133,2019-11-18,November,2019
1134,2019-11-19,November,2019
1135,2019-11-20,November,2019
1136,2019-11-21,November,2019
1137,2019-11-22,November,2019
1138,2019-11-23,November,2019
1139,2019-11-24,November,2019
1140,2019-11-25,November,2019
1141,2019-11-26,November,2019
1142,2019-11-27,November,2019
1143,2019-11-28,November,2019
1144,2019-11-29,November,2019
1145,2019-11-30,November,2019
1146,2019-12-01,December,2019
1147,2019-12-02,December,2019
1148,2019-12-03,December,2019
1149,2019-12-04,December,2019
1150,2019-12-05,December,2019
1151,2019-12-06,December,2019
1152,2019-12-07,December,2019
1153,2019-12-08,December,2019
1154,2019-12-09,December,2019
1155,2019-12-10,December,2019
1156,2019-12-11,December,2019
1157,2019-12-12,December,2019
1158,2019-12-13,December,2019
1159,2019-12-14,December,2019
1160,2019-12-15,December,2019
1161,2019-12-16,December,2019
1162,2019-12-17,December,2019
1163,2019-12-18,December,2019
1164,2019-12-19,December,2019
1165,2019-12-20,December,2019
1166,2019-12-21,December,2019
1167,2019-12-22,December,2019
1168,2019-12-23,December,2019
1169,2019-12-24,December,2019
1170,2019-12-25,December,2019
1171,2019-12-26,December,2019
1172,2019-12-27,December,2019
1173,2019-12-28,December,2019
1174,2019-12-29,December,2019
1175,2019-12-30,December,2019
1176,2019-12-31,December,2019
1177,2020-01-01,January,2020
1178,2020-01-02,January,2020
1179,2020-01-03,January,2020
1180,2020-01-04,January,2020
1181,2020-01-05,January,2020
1182,2020-01-06,January,2020
1183,2020-01-07,January,2020
1184,2020-01-08,January,2020
1185,2020-01-09,January,2020
1186,2020-01-10,January,2020
1187,2020-01-11,January,2020
1188,2020-01-12,January,2020
1189,2020-01-13,January,2020
1190,2020-01-14,January,2020
1191,2020-01-15,January,2020
1192,2020-01-16,January,2020
1193,2020-01-17,January,2020
1194,2020-01-18,January,2020
1195,2020-01-19,January,2020
1196,2020-01-20,January,2020
1197,2020-01-21,January,2020
1198,2020-01-22,January,2020
1199,2020-01-23,January,2020
1200,2020-01-24,January,2020
1201,2020-01-25,January,2020
1202,2020-01-26,January,2020
1203,2020-01-27,January,2020
1204,2020-01-28,January,2020
1205,2020-01-29,January,2020
1206,2020-01-30,January,2020
1207,2020-01-31,January,2020
1208,2020-02-01,February,2020
1209,2020-02-02,February,2020
1210,2020-02-03,February,2020
1211,2020-02-04,February,2020
1212,2020-02-05,February,2020
1213,2020-02-06,February,2020
1214,2020-02-07,February,2020
1215,2020-02-08,February,2020
1216,2020-02-09,February,2020
1217,2020-02-10,February,2020
1218,2020-02-11,February,2020
1219,2020-02-12,February,2020
1220,2020-02-13,February,2020
1221,2020-02-14,February,2020
1222,2020-02-15,February,2020
1223,2020-02-16,February,2020
1224,2020-02-17,February,2020
1225,2020-02-18,February,2020
1226,2020-02-19,February,2020
1227,2020-02-20,February,2020
1228,2020-02-21,February,2020
1229,2020-02-22,February,2020
1230,2020-02-23,February,2020
1231,2020-02-24,February,2020
1232,2020-02-25,February,2020
1233,2020-02-26,February,2020
1234,2020-02-27,February,2020
1235,2020-02-28,February,2020
1236,2020-02-29,February,2020
1237,2020-03-01,March,2020
1238,2020-03-02,March,2020
1239,2020-03-03,March,2020
1240,2020-03-04,March,2020
1241,2020-03-05,March,2020
1242,2020-03-06,March,2020
1243,2020-03-07,March,2020
1244,2020-03-08,March,2020
1245,2020-03-09,March,2020
1246,2020-03-10,March,2020
1247,2020-03-11,March,2020
1248,2020-03-12,March,2020
1249,2020-03-13,March,2020
1250,2020-03-14,March,2020
1251,2020-03-15,March,2020
1252,2020-03-16,March,2020
1253,2020-03-17,March,2020
1254,2020-03-18,March,2020
1255,2020-03-19,March,2020
1256,2020-03-20,March,2020
1257,2020-03-21,March,2020
1258,2020-03-22,March,2020
1259,2020-03-23,March,2020
1260,2020-03-24,March,2020
1261,2020-03-25,March,2020
1262,2020-03-26,March,2020
1263,2020-03-27,March,2020
1264,2020-03-28,March,2020
1265,2020-03-29,March,2020
1266,2020-03-30,March,2020
1267,2020-03-31,March,2020
1268,2020-04-01,April,2020
1269,2020-04-02,April,2020
1270,2020-04-03,April,2020
1271,2020-04-04,April,2020
1272,2020-04-05,April,2020
1273,2020-04-06,April,2020
1274,2020-04-07,April,2020
1275,2020-04-08,April,2020
1276,2020-04-09,April,2020
1277,2020-04-10,April,2020
1278,2020-04-11,April,2020
1279,2020-04-12,April,2020
1280,2020-04-13,April,2020
1281,2020-04-14,April,2020
1282,2020-04-15,April,2020
1283,2020-04-16,April,2020
1284,2020-04-17,April,2020
1285,2020-04-18,April,2020
1286,2020-04-19,April,2020
1287,2020-04-20,April,2020
1288,2020-04-21,April,2020
1289,2020-04-22,April,2020
1290,2020-04-23,April,2020
1291,2020-04-24,April,2020
1292,2020-04-25,April,2020
1293,2020-04-26,April,2020
1294,2020-04-27,April,2020
1295,2020-04-28,April,2020
1296,2020-04-29,April,2020
1297,2020-04-30,April,2020
1298,2020-05-01,May,2020
1299,2020-05-02,May,2020
1300,2020-05-03,May,2020
1301,2020-05-04,May,2020
1302,2020-05-05,May,2020
1303,2020-05-06,May,2020
1304,2020-05-07,May,2020
1305,2020-05-08,May,2020
1306,2020-05-09,May,2020
1307,2020-05-10,May,2020
1308,2020-05-11,May,2020
1309,2020-05-12,May,2020
1310,2020-05-13,May,2020
1311,2020-05-14,May,2020
1312,2020-05-15,May,2020
1313,2020-05-16,May,2020
1314,2020-05-17,May,2020
1315,2020-05-18,May,2020
1316,2020-05-19,May,2020
1317,2020-05-20,May,2020
1318,2020-05-21,May,2020
1319,2020-05-22,May,2020
1320,2020-05-23,May,2020
1321,2020-05-24,May,2020
1322,2020-05-25,May,2020
1323,2020-05-26,May,2020
1324,2020-05-27,May,2020
1325,2020-05-28,May,2020
1326,2020-05-29,May,2020
1327,2020-05-30,May,2020
1328,2020-05-31,May,2020
1329,2020-06-01,June,2020
1330,2020-06-02,June,2020
1331,2020-06-03,June,2020
1332,2020-06-04,June,2020
1333,2020-06-05,June,2020
1334,2020-06-06,June,2020
1335,2020-06-07,June,2020
1336,2020-06-08,June,2020
1337,2020-06-09,June,2020
1338,2020-06-10,June,2020
1339,2020-06-11,June,2020
1340,2020-06-12,June,2020
1341,2020-06-13,June,2020
1342,2020-06-14,June,2020
1343,2020-06-15,June,2020
1344,2020-06-16,June,2020
1345,2020-06-17,June,2020
1346,2020-06-18,June,2020
1347,2020-06-19,June,2020
1348,2020-06-20,June,2020
1349,2020-06-21,June,2020
1350,2020-06-22,June,2020
1351,2020-06-23,June,2020
1352,2020-06-24,June,2020
1353,2020-06-25,June,2020
1354,2020-06-26,June,2020
1355,2020-06-27,June,2020
1356,2020-06-28,June,2020
1357,2020-06-29,June,2020
1358,2020-06-30,June,2020
1359,2020-07-01,July,2020
1360,2020-07-02,July,2020
1361,2020-07-03,July,2020
1362,2020-07-04,July,2020
1363,2020-07-05,July,2020
1364,2020-07-06,July,2020
1365,2020-07-07,July,2020
1366,2020-07-08,July,2020
1367,2020-07-09,July,2020
1368,2020-07-10,July,2020
1369,2020-07-11,July,2020
1370,2020-07-12,July,2020
1371,2020-07-13,July,2020
1372,2020-07-14,July,2020
1373,2020-07-15,July,2020
1374,2020-07-16,July,2020
1375,2020-07-17,July,2020
1376,2020-07-18,July,2020
1377,2020-07-19,July,2020
1378,2020-07-20,July,2020
1379,2020-07-21,July,2020
1380,2020-07-22,July,2020
1381,2020-07-23,July,2020
1382,2020-07-24,July,2020
1383,2020-07-25,July,2020
1384,2020-07-26,July,2020
1385,2020-07-27,July,2020
1386,2020-07-28,July,2020
1387,2020-07-29,July,2020
1388,2020-07-30,July,2020
1389,2020-07-31,July,2020
1390,2020-08-01,August,2020
1391,2020-08-02,August,2020
1392,2020-08-03,August,2020
1393,2020-08-04,August,2020
1394,2020-08-05,August,2020
1395,2020-08-06,August,2020
1396,2020-08-07,August,2020
1397,2020-08-08,August,2020
1398,2020-08-09,August,2020
1399,2020-08-10,August,2020
1400,2020-08-11,August,2020
1401,2020-08-12,August,2020
1402,2020-08-13,August,2020
1403,2020-08-14,August,2020
1404,2020-08-15,August,2020
1405,2020-08-16,August,2020
1406,2020-08-17,August,2020
1407,2020-08-18,August,2020
1408,2020-08-19,August,2020
1409,2020-08-20,August,2020
1410,2020-08-21,August,2020
1411,2020-08-22,August,2020
1412,2020-08-23,August,2020
1413,2020-08-24,August,2020
1414,2020-08-25,August,2020
1415,2020-08-26,August,2020
1416,2020-08-27,August,2020
1417,2020-08-28,August,2020
1418,2020-08-29,August,2020
1419,2020-08-30,August,2020
1420,2020-08-31,August,2020
1421,2020-09-01,September,2020
1422,2020-09-02,September,2020
1423,2020-09-03,September,2020
1424,2020-09-04,September,2020
1425,2020-09-05,September,2020
1426,2020-09-06,September,2020
1427,2020-09-07,September,2020
1428,2020-09-08,September,2020
1429,2020-09-09,September,2020
1430,2020-09-10,September,2020
1431,2020-09-11,September,2020
1432,2020-09-12,September,2020
1433,2020-09-13,September,2020
1434,2020-09-14,September,2020
1435,2020-09-15,September,2020
1436,2020-09-16,September,2020
1437,2020-09-17,September,2020
1438,2020-09-18,September,2020
1439,2020-09-19,September,2020
1440,2020-09-20,September,2020
1441,2020-09-21,September,2020
1442,2020-09-22,September,2020
1443,2020-09-23,September,2020
1444,2020-09-24,September,2020
1445,2020-09-25,September,2020
1446,2020-09-26,September,2020
1447,2020-09-27,September,2020
1448,2020-09-28,September,2020
1449,2020-09-29,September,2020
1450,2020-09-30,September,2020
1451,2020-10-01,October,2020
1452,2020-10-02,October,2020
1453,2020-10-03,October,2020
1454,2020-10-04,October,2020
1455,2020-10-05,October,2020
1456,2020-10-06,October,2020
1457,2020-10-07,October,2020
1458,2020-10-08,October,2020
1459,2020-10-09,October,2020
1460,2020-10-10,October,2020
1461,2020-10-11,October,2020
1462,2020-10-12,October,2020
1463,2020-10-13,October,2020
1464,2020-10-14,October,2020
1465,2020-10-15,October,2020
1466,2020-10-16,October,2020
1467,2020-10-17,October,2020
1468,2020-10-18,October,2020
1469,2020-10-19,October,2020
1470,2020-10-20,October,2020
1471,2020-10-21,October,2020
1472,2020-10-22,October,2020
1473,2020-10-23,October,2020
1474,2020-10-24,October,2020
1475,2020-10-25,October,2020
1476,2020-10-26,October,2020
1477,2020-10-27,October,2020
1478,2020-10-28,October,2020
1479,2020-10-29,October,2020
1480,2020-10-30,October,2020
1481,2020-10-31,October,2020
1482,2020-11-01,November,2020
1483,2020-11-02,November,2020
1484,2020-11-03,November,2020
1485,2020-11-04,November,2020
1486,2020-11-05,November,2020
1487,2020-11-06,November,2020
1488,2020-11-07,November,2020
1489,2020-11-08,November,2020
1490,2020-11-09,November,2020
1491,2020-11-10,November,2020
1492,2020-11-11,November,2020
1493,2020-11-12,November,2020
1494,2020-11-13,November,2020
1495,2020-11-14,November,2020
1496,2020-11-15,November,2020
1497,2020-11-16,November,2020
1498,2020-11-17,November,2020
1499,2020-11-18,November,2020
1500,2020-11-19,November,2020
1501,2020-11-20,November,2020
1502,2020-11-21,November,2020
1503,2020-11-22,November,2020
1504,2020-11-23,November,2020
1505,2020-11-24,November,2020
1506,2020-11-25,November,2020
1507,2020-11-26,November,2020
1508,2020-11-27,November,2020
1509,2020-11-28,November,2020
1510,2020-11-29,November,2020
1511,2020-11-30,November,2020
1512,2020-12-01,December,2020
1513,2020-12-02,December,2020
1514,2020-12-03,December,2020
1515,2020-12-04,December,2020
1516,2020-12-05,December,2020
1517,2020-12-06,December,2020
1518,2020-12-07,December,2020
1519,2020-12-08,December,2020
1520,2020-12-09,December,2020
1521,2020-12-10,December,2020
1522,2020-12-11,December,2020
1523,2020-12-12,December,2020
1524,2020-12-13,December,2020
1525,2020-12-14,December,2020
1526,2020-12-15,December,2020
1527,2020-12-16,December,2020
1528,2020-12-17,December,2020
1529,2020-12-18,December,2020
1530,2020-12-19,December,2020
1531,2020-12-20,December,2020
1532,2020-12-21,December,2020
1533,2020-12-22,December,2020
1534,2020-12-23,December,2020
1535,2020-12-24,December,2020
1536,2020-12-25,December,2020
1537,2020-12-26,December,2020
1538,2020-12-27,December,2020
1539,2020-12-28,December,2020
1540,2020-12-29,December,2020
1541,2020-12-30,December,2020
1542,2020-12-31,December,2020
1543,2021-01-01,January,2021
1544,2021-01-02,January,2021
1545,2021-01-03,January,2021
1546,2021-01-04,January,2021
1547,2021-01-05,January,2021
1548,2021-01-06,January,2021
1549,2021-01-07,January,2021
1550,2021-01-08,January,2021
1551,2021-01-09,January,2021
1552,2021-01-10,January,2021
1553,2021-01-11,January,2021
1554,2021-01-12,January,2021
1555,2021-01-13,January,2021
1556,2021-01-14,January,2021
1557,2021-01-15,January,2021
1558,2021-01-16,January,2021
1559,2021-01-17,January,2021
1560,2021-01-18,January,2021
1561,2021-01-19,January,2021
1562,2021-01-20,January,2021
1563,2021-01-21,January,2021
1564,2021-01-22,January,2021
1565,2021-01-23,January,2021
1566,2021-01-24,January,2021
1567,2021-01-25,January,2021
1568,2021-01-26,January,2021
1569,2021-01-27,January,2021
1570,2021-01-28,January,2021
1571,2021-01-29,January,2021
1572,2021-01-30,January,2021
1573,2021-01-31,January,2021
1574,2021-02-01,February,2021
1575,2021-02-02,February,2021
1576,2021-02-03,February,2021
1577,2021-02-04,February,2021
1578,2021-02-05,February,2021
1579,2021-02-06,February,2021
1580,2021-02-07,February,2021
1581,2021-02-08,February,2021
1582,2021-02-09,February,2021
1583,2021-02-10,February,2021
1584,2021-02-11,February,2021
1585,2021-02-12,February,2021
1586,2021-02-13,February,2021
1587,2021-02-14,February,2021
1588,2021-02-15,February,2021
1589,2021-02-16,February,2021
1590,2021-02-17,February,2021
1591,2021-02-18,February,2021
1592,2021-02-19,February,2021
1593,2021-02-20,February,2021
1594,2021-02-21,February,2021
1595,2021-02-22,February,2021
1596,2021-02-23,February,2021
1597,2021-02-24,February,2021
1598,2021-02-25,February,2021
1599,2021-02-26,February,2021
1600,2021-02-27,February,2021
1601,2021-02-28,February,2021
1602,2021-03-01,March,2021
1603,2021-03-02,March,2021
1604,2021-03-03,March,2021
1605,2021-03-04,March,2021
1606,2021-03-05,March,2021
1607,2021-03-06,March,2021
1608,2021-03-07,March,2021
1609,2021-03-08,March,2021
1610,2021-03-09,March,2021
1611,2021-03-10,March,2021
1612,2021-03-11,March,2021
1613,2021-03-12,March,2021
1614,2021-03-13,March,2021
1615,2021-03-14,March,2021
1616,2021-03-15,March,2021
1617,2021-03-16,March,2021
1618,2021-03-17,March,2021
1619,2021-03-18,March,2021
1620,2021-03-19,March,2021
